,SHAP (RF),SHAP (XGBoost),Permutation,LIME,Surrogate Tree,Consensus Score
Enzyme_Load,0.9999999903950331,1.0,0.9999999837740496,0.9999999913707995,0.1793253865110542,0.8358650704101873
Bili_AST_Interaction,0.3740591095958408,0.30748856,0.09702385813398344,0.19375336844883068,0.9999999986350717,0.3944649790980603
Direct_Bilirubin_log,0.399047639648478,0.32915136,0.13000589958516023,0.4613919582101126,0.0743603775972755,0.27879144744434725
Direct_Bilirubin,0.36056833057774496,0.14261809,0.18452069509214114,0.5046071568867577,0.04100616385988387,0.24666408726616992
Total_Bilirubin_log,0.2571710847507215,0.28716478,0.14410251852850542,0.3135357265663962,0.0,0.20039482147258836
Albumin_Protein_Ratio,0.18149693975635564,0.5137926,0.0,0.27723717077398935,0.0,0.19450533698720301
ALT_Albumin_Ratio,0.20895171922097414,0.20995088,0.20956074189939927,0.16374957483278255,0.049444603047185176,0.16833150364330707
Total_Bilirubin,0.2411692179367274,0.0,0.15560239187702438,0.36323003088480277,0.0,0.15200032813971093
Bilirubin_Protein,0.18547359336646876,0.20828149,0.07631734131289687,0.19850273921421283,0.0016473683652319469,0.13404450589705932
Alamine_Aminotransferase_log,0.10099861617196959,0.36012536,0.06033218011876799,0.10759307233192852,0.017582849284592143,0.12932641615606713
Bilirubin_Ratio,0.09690670720199372,0.25959215,0.048157827394969786,0.051536804153033924,0.0,0.09123869688627573
Alamine_Aminotransferase,0.12785372822967067,0.010488542,0.04053621045430905,0.21850090715297432,0.0015615679295427891,0.07978819111266006
Aspartate_Aminotransferase,0.0,0.095156476,0.11039541174890301,0.04188654177836295,0.0,0.04948768588577393
Aspartate_Aminotransferase_log,0.016126465045862032,0.11522282,0.10354944608981395,0.0,0.0,0.04697974605703403
